epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
57,257.126,0.39957,0.4784,0.32441,0.82502,0.99935,0.99296,0.995,0.9626,0.99935,0.99296,0.995,0.93124,0.30532,0.37705,0.24514,0.80355,0.0014456,0.0014456,0.0014456
58,263.139,0.41189,0.51054,0.333,0.8279,0.99952,0.99296,0.995,0.96544,0.99243,0.98592,0.98967,0.9307,0.28002,0.36562,0.22608,0.79937,0.0014357,0.0014357,0.0014357
59,269.286,0.39781,0.50333,0.32381,0.82243,0.99955,0.99296,0.995,0.96144,0.99246,0.98592,0.98644,0.92267,0.32085,0.37923,0.23738,0.80869,0.0014258,0.0014258,0.0014258
60,275.269,0.39895,0.46642,0.32117,0.82321,0.99847,0.99296,0.995,0.94222,0.99847,0.99296,0.995,0.93037,0.32696,0.31813,0.25705,0.79961,0.0014159,0.0014159,0.0014159
61,281.418,0.40335,0.49059,0.33032,0.82279,0.9996,0.99296,0.995,0.96299,0.9996,0.99296,0.995,0.94525,0.29991,0.34582,0.2424,0.79882,0.001406,0.001406,0.001406
62,287.851,0.40336,0.49231,0.32626,0.82717,0.99958,0.99296,0.995,0.94533,0.99958,0.99296,0.995,0.94796,0.32266,0.33335,0.24007,0.8033,0.0013961,0.0013961,0.0013961
63,293.847,0.40248,0.4754,0.32821,0.82306,0.99961,0.99296,0.995,0.96975,0.99252,0.98592,0.99025,0.93378,0.28622,0.37722,0.23961,0.79949,0.0013862,0.0013862,0.0013862
64,300.246,0.39562,0.50682,0.32461,0.8233,0.99959,0.99296,0.995,0.95287,0.99959,0.99296,0.995,0.93333,0.31482,0.37966,0.23922,0.80359,0.0013763,0.0013763,0.0013763
65,306.306,0.40037,0.47599,0.32138,0.81993,0.99927,0.99296,0.995,0.97065,0.99927,0.99296,0.995,0.93779,0.26187,0.35226,0.226,0.79645,0.0013664,0.0013664,0.0013664
66,312.275,0.39253,0.49289,0.31794,0.8154,0.99947,0.99296,0.995,0.96448,0.99238,0.98592,0.99214,0.92904,0.28034,0.37432,0.22119,0.79598,0.0013565,0.0013565,0.0013565
67,318.175,0.39105,0.46818,0.31678,0.82088,1,0.99253,0.995,0.96088,1,0.99253,0.995,0.93008,0.30062,0.38856,0.23042,0.7949,0.0013466,0.0013466,0.0013466
68,324.514,0.38866,0.47672,0.32094,0.82278,0.99912,0.99296,0.995,0.96049,0.99912,0.99296,0.995,0.93727,0.2983,0.3538,0.24209,0.80235,0.0013367,0.0013367,0.0013367
69,330.799,0.39763,0.49453,0.31627,0.82898,0.99953,0.99296,0.995,0.96706,0.99953,0.99296,0.995,0.93429,0.28093,0.32802,0.2293,0.80182,0.0013268,0.0013268,0.0013268
70,336.836,0.38654,0.44937,0.31731,0.82331,0.99934,0.99296,0.995,0.95889,0.99225,0.98592,0.99088,0.94884,0.30228,0.36396,0.24268,0.79936,0.0013169,0.0013169,0.0013169
71,342.948,0.37084,0.44353,0.31319,0.81716,0.99957,0.99296,0.995,0.97261,0.99957,0.99296,0.995,0.95334,0.2655,0.33661,0.21028,0.7971,0.001307,0.001307,0.001307
72,348.821,0.37214,0.4343,0.31656,0.82223,0.99958,0.99296,0.995,0.96265,0.99249,0.98592,0.98455,0.92992,0.29549,0.35729,0.22887,0.79957,0.0012971,0.0012971,0.0012971
73,354.811,0.37325,0.4333,0.31072,0.81752,0.99956,0.99296,0.995,0.96075,0.99956,0.99296,0.995,0.93433,0.28565,0.36592,0.21548,0.79561,0.0012872,0.0012872,0.0012872
74,360.911,0.38377,0.4411,0.31523,0.8202,0.9995,0.99296,0.995,0.96795,0.9995,0.99296,0.995,0.94298,0.26681,0.32352,0.22579,0.79552,0.0012773,0.0012773,0.0012773
75,366.974,0.38281,0.43853,0.30527,0.81647,0.99957,0.99296,0.995,0.96576,0.99957,0.99296,0.995,0.9459,0.27047,0.31886,0.21812,0.80042,0.0012674,0.0012674,0.0012674
76,373.44,0.38758,0.44977,0.31174,0.81821,0.99959,0.99296,0.995,0.96438,0.99959,0.99296,0.995,0.9482,0.28918,0.33353,0.2286,0.80136,0.0012575,0.0012575,0.0012575
77,379.624,0.38584,0.44984,0.30987,0.81518,0.99951,0.99296,0.995,0.96102,0.99951,0.99296,0.995,0.93901,0.29055,0.32506,0.23298,0.79776,0.0012476,0.0012476,0.0012476
78,385.642,0.39304,0.44574,0.31971,0.81699,0.99959,0.99296,0.995,0.9656,0.99959,0.99296,0.995,0.94188,0.26963,0.31358,0.22875,0.79897,0.0012377,0.0012377,0.0012377
79,391.786,0.38629,0.48106,0.30952,0.82071,0.9996,0.99296,0.995,0.96631,0.9996,0.99296,0.995,0.94562,0.28317,0.34723,0.22115,0.79978,0.0012278,0.0012278,0.0012278
80,397.845,0.37431,0.42758,0.29216,0.81971,0.99946,0.99296,0.995,0.97476,0.99946,0.99296,0.995,0.94538,0.24527,0.30182,0.21172,0.79107,0.0012179,0.0012179,0.0012179
