epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
58,293.821,0.35532,0.41805,0.28261,0.79526,0.99158,0.992,0.99157,0.95879,0.99158,0.992,0.99157,0.8878,0.25459,0.32121,0.22648,0.7645,0.0012476,0.0012476,0.0012476
59,298.754,0.34638,0.41615,0.29214,0.79807,0.992,0.99182,0.98955,0.96119,0.992,0.99182,0.98955,0.88812,0.25899,0.32425,0.26387,0.76407,0.0012344,0.0012344,0.0012344
60,303.662,0.35125,0.41342,0.28379,0.80189,0.992,0.99164,0.9935,0.96771,0.992,0.99164,0.9935,0.90476,0.25146,0.32255,0.23471,0.76369,0.0012212,0.0012212,0.0012212
61,308.578,0.36281,0.43385,0.28456,0.79763,0.98923,0.98,0.9936,0.96867,0.98923,0.98,0.9936,0.89852,0.26042,0.33461,0.23295,0.76631,0.001208,0.001208,0.001208
62,313.693,0.35309,0.41984,0.27838,0.7921,0.987,0.992,0.99301,0.96404,0.987,0.992,0.99301,0.9003,0.26035,0.31188,0.23042,0.76549,0.0011948,0.0011948,0.0011948
63,318.619,0.3487,0.42513,0.27769,0.79444,0.99174,0.988,0.98987,0.9637,0.99174,0.988,0.98987,0.87924,0.24226,0.32362,0.2344,0.76304,0.0011816,0.0011816,0.0011816
64,324.835,0.34696,0.4136,0.27108,0.7948,0.99177,0.988,0.99269,0.9648,0.99177,0.988,0.99269,0.90094,0.26478,0.32509,0.2359,0.76594,0.0011684,0.0011684,0.0011684
65,330.824,0.3424,0.40007,0.28015,0.79163,0.99133,0.992,0.9917,0.96052,0.99133,0.992,0.9917,0.88925,0.26731,0.321,0.23923,0.76753,0.0011552,0.0011552,0.0011552
66,336.424,0.3382,0.40233,0.27229,0.79224,0.99162,0.992,0.99042,0.95638,0.99162,0.992,0.99042,0.89832,0.25579,0.32454,0.2298,0.76703,0.001142,0.001142,0.001142
67,341.836,0.3596,0.42329,0.28009,0.79508,0.99124,0.992,0.99188,0.96961,0.99124,0.992,0.99188,0.89537,0.25619,0.32979,0.22882,0.76415,0.0011288,0.0011288,0.0011288
68,347.002,0.34617,0.41154,0.27577,0.7977,0.98701,0.992,0.99192,0.96524,0.98701,0.992,0.99192,0.8769,0.2497,0.32956,0.23567,0.76301,0.0011156,0.0011156,0.0011156
69,352.455,0.34055,0.40889,0.26361,0.79345,0.99155,0.992,0.9935,0.96791,0.99155,0.992,0.9935,0.88793,0.24883,0.31755,0.21796,0.76515,0.0011024,0.0011024,0.0011024
70,357.609,0.33603,0.39345,0.26611,0.79433,0.9915,0.992,0.99397,0.97162,0.9915,0.992,0.99397,0.90247,0.24407,0.32326,0.22254,0.7662,0.0010892,0.0010892,0.0010892
71,363.042,0.34474,0.41867,0.26875,0.79316,0.99173,0.992,0.99274,0.96902,0.99173,0.992,0.99274,0.88759,0.26667,0.32144,0.22625,0.76626,0.001076,0.001076,0.001076
72,367.764,0.33473,0.3848,0.26527,0.79341,0.99177,0.992,0.99061,0.96297,0.99203,0.99576,0.99061,0.87846,0.25042,0.32417,0.21864,0.76503,0.0010628,0.0010628,0.0010628
73,372.553,0.33037,0.38227,0.2614,0.79428,0.992,0.99164,0.99288,0.96087,0.992,0.99164,0.99288,0.89599,0.25097,0.32765,0.22304,0.76383,0.0010496,0.0010496,0.0010496
74,377.381,0.33007,0.38681,0.26024,0.78688,0.99198,0.98978,0.98901,0.96399,0.99198,0.98978,0.98901,0.88838,0.24257,0.32064,0.23599,0.76269,0.0010364,0.0010364,0.0010364
75,382.228,0.33582,0.41228,0.26021,0.79115,0.99175,0.992,0.99109,0.95913,0.99175,0.992,0.99109,0.89512,0.2566,0.31025,0.23087,0.76383,0.0010232,0.0010232,0.0010232
76,387.172,0.33177,0.39449,0.26143,0.79416,0.99173,0.992,0.99307,0.97078,0.99173,0.992,0.99307,0.89753,0.25262,0.31732,0.21859,0.76278,0.00101,0.00101,0.00101
77,392.11,0.33005,0.38815,0.25787,0.78733,0.99174,0.992,0.99411,0.96594,0.99174,0.992,0.99411,0.89819,0.28307,0.33117,0.21873,0.76704,0.0009968,0.0009968,0.0009968
78,397.584,0.34,0.39632,0.25912,0.78951,0.99169,0.992,0.99322,0.96042,0.99169,0.992,0.99322,0.88911,0.29207,0.34807,0.22748,0.7685,0.0009836,0.0009836,0.0009836
79,402.403,0.32805,0.39045,0.25872,0.78965,0.99163,0.992,0.99153,0.97076,0.99163,0.992,0.99153,0.89082,0.25498,0.32208,0.22665,0.76514,0.0009704,0.0009704,0.0009704
80,407.193,0.32472,0.38913,0.25971,0.79032,0.99171,0.992,0.9926,0.9721,0.99171,0.992,0.9926,0.90374,0.23112,0.31469,0.21279,0.76167,0.0009572,0.0009572,0.0009572
81,412.001,0.31931,0.38081,0.25236,0.78915,0.99178,0.992,0.99242,0.97527,0.99178,0.992,0.99242,0.90232,0.23583,0.30877,0.20615,0.76233,0.000944,0.000944,0.000944
82,416.831,0.3229,0.3871,0.25476,0.78791,0.99174,0.992,0.99209,0.97515,0.99174,0.992,0.99209,0.90359,0.23556,0.30919,0.21384,0.76147,0.0009308,0.0009308,0.0009308
83,421.654,0.32683,0.39408,0.25988,0.79352,0.99177,0.992,0.98982,0.9701,0.99177,0.992,0.98982,0.88612,0.24626,0.31591,0.21093,0.76308,0.0009176,0.0009176,0.0009176
84,426.589,0.32374,0.38789,0.2533,0.7891,0.99186,0.992,0.99189,0.96695,0.99186,0.992,0.99189,0.89384,0.25537,0.32019,0.22089,0.76546,0.0009044,0.0009044,0.0009044
85,431.432,0.32561,0.3783,0.25816,0.79067,0.99163,0.992,0.99229,0.96822,0.99163,0.992,0.99229,0.88814,0.25177,0.33977,0.22024,0.76232,0.0008912,0.0008912,0.0008912
86,436.299,0.32962,0.39393,0.25634,0.78597,0.98776,0.992,0.99249,0.96825,0.98776,0.992,0.99249,0.90217,0.23739,0.32126,0.20351,0.76105,0.000878,0.000878,0.000878
87,441.092,0.32206,0.37625,0.25593,0.79298,0.98775,0.992,0.9917,0.97555,0.98775,0.992,0.9917,0.90152,0.23311,0.30823,0.20113,0.76064,0.0008648,0.0008648,0.0008648
88,445.901,0.31437,0.38237,0.24872,0.79038,0.99172,0.992,0.99256,0.97707,0.99172,0.992,0.99256,0.90378,0.24452,0.32162,0.21061,0.76139,0.0008516,0.0008516,0.0008516
89,450.701,0.31766,0.37259,0.25084,0.7833,0.99155,0.992,0.99028,0.96947,0.99155,0.992,0.99028,0.8906,0.26428,0.31826,0.23549,0.76328,0.0008384,0.0008384,0.0008384
90,455.535,0.31919,0.37209,0.25392,0.78617,0.99166,0.992,0.99169,0.96742,0.99166,0.992,0.99169,0.88554,0.24787,0.32401,0.21573,0.76258,0.0008252,0.0008252,0.0008252
91,460.481,0.3173,0.3951,0.24828,0.79387,0.99168,0.992,0.99212,0.9678,0.99168,0.992,0.99212,0.89116,0.25764,0.32081,0.21375,0.76285,0.000812,0.000812,0.000812
92,465.345,0.32282,0.3787,0.25814,0.7893,0.9918,0.992,0.99184,0.97472,0.9918,0.992,0.99184,0.89482,0.23889,0.31611,0.20948,0.76112,0.0007988,0.0007988,0.0007988
93,470.324,0.31808,0.37658,0.24761,0.78683,0.99165,0.992,0.99114,0.97317,0.99165,0.992,0.99114,0.89591,0.23575,0.30482,0.21164,0.76224,0.0007856,0.0007856,0.0007856
94,475.226,0.31891,0.38506,0.24872,0.78841,0.99175,0.992,0.99066,0.97048,0.99175,0.992,0.99066,0.89723,0.22332,0.30162,0.20534,0.75942,0.0007724,0.0007724,0.0007724
95,480.254,0.31236,0.36709,0.24454,0.78358,0.99176,0.992,0.99224,0.97416,0.99176,0.992,0.99224,0.90719,0.23697,0.29995,0.20732,0.7602,0.0007592,0.0007592,0.0007592
96,485.1,0.31118,0.37173,0.24564,0.78993,0.99154,0.992,0.99007,0.97136,0.99154,0.992,0.99007,0.8947,0.22736,0.31576,0.22554,0.75789,0.000746,0.000746,0.000746
97,490.048,0.30546,0.3563,0.24526,0.78406,0.99104,0.992,0.99165,0.97685,0.99104,0.992,0.99165,0.89887,0.22722,0.31152,0.2027,0.75916,0.0007328,0.0007328,0.0007328
