epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
54,129.899,0.96836,0.48547,0.9829,0.90844,0.95679,0.96414,0.68701,1.12064,0.54386,1.05134,0.000792325,0.000792325,0.000792325
55,132.284,0.96632,0.50676,0.97429,0.90995,0.95037,0.96609,0.70121,1.06649,0.5433,1.01314,0.000775822,0.000775822,0.000775822
56,134.869,0.9738,0.50176,0.99337,0.90387,0.93131,0.95106,0.67848,1.11057,0.55224,1.03378,0.000759318,0.000759318,0.000759318
57,137.296,0.93028,0.48864,0.97126,0.86828,0.94307,0.94631,0.68629,1.03945,0.57977,1.00673,0.000742815,0.000742815,0.000742815
58,139.708,0.94329,0.50608,0.96169,0.90359,0.94621,0.95389,0.68529,1.08104,0.55488,1.03493,0.000726312,0.000726312,0.000726312
59,142.074,0.92753,0.48428,0.96372,0.86973,0.93009,0.95906,0.67688,1.13938,0.58157,1.04555,0.000709809,0.000709809,0.000709809
60,144.571,0.90252,0.46337,0.95712,0.86751,0.94878,0.92366,0.66622,1.07465,0.57915,1.02109,0.000693305,0.000693305,0.000693305
61,146.958,0.91794,0.46534,0.96902,0.90256,0.94362,0.94616,0.67293,1.10042,0.56782,1.02278,0.000676802,0.000676802,0.000676802
62,149.353,0.91781,0.48098,0.96328,0.89628,0.94803,0.95409,0.67168,1.11546,0.56473,1.0398,0.000660299,0.000660299,0.000660299
63,151.657,0.93134,0.48168,0.97087,0.91401,0.9254,0.95481,0.68743,1.07228,0.55047,1.02175,0.000643795,0.000643795,0.000643795
64,154.075,0.90494,0.47245,0.96181,0.90885,0.9318,0.95475,0.68725,1.09425,0.54503,1.03319,0.000627292,0.000627292,0.000627292
65,156.473,0.90444,0.47275,0.96281,0.90551,0.92926,0.95561,0.6754,1.14838,0.56046,1.06107,0.000610789,0.000610789,0.000610789
66,158.95,0.87933,0.46704,0.95686,0.8943,0.9305,0.95942,0.68516,1.07439,0.55199,1.02467,0.000594286,0.000594286,0.000594286
67,161.264,0.90674,0.45492,0.96274,0.88997,0.9318,0.95259,0.6665,1.13602,0.57758,1.05669,0.000577782,0.000577782,0.000577782
68,163.806,0.90895,0.4781,0.96163,0.91259,0.92356,0.94275,0.68455,1.08133,0.53441,1.02778,0.000561279,0.000561279,0.000561279
69,166.218,0.85966,0.44718,0.93874,0.90209,0.92417,0.94926,0.67939,1.12708,0.54558,1.04823,0.000544776,0.000544776,0.000544776
